ID	Description	pvalue	p.adjust	ES	NES	size	leadingEdge
GO:0006096	glycolytic process [biological_process]	4.22799996453304e-05	0.00548871268123016	-0.813329561222472	-1.95902691447476	16	YHR174W/YAL038W/YBR196C/YMR205C/YGR192C/YKL060C/YFR053C/YGL253W/YCL040W/YJL052W/YGR240C/YDR050C/YCR012W/YGR254W
GO:0042274	ribosomal small subunit biogenesis [biological_process]	9.21962102728799e-05	0.0109713490224727	-0.729572742946075	-1.97722834781245	27	YPL226W/YNR046W/YNL302C/YIL091C/YOL121C/YMR014W/YHR148W/YGR145W/YKR060W/YNL132W/YMR290C/YDL148C/YPL239W/YNL075W/YOL022C/YKL143W/YOR287C/YPR144C/YLR186W
GO:0006839	mitochondrial transport [biological_process]	0.000218258100921959	0.0239748129320429	0.86457961848196	2.00474929769031	8	YMR056C/YPL134C/YOR222W/YBL030C
GO:0007118	budding cell apical bud growth [biological_process]	0.000285487488730207	0.0291197238504811	0.704219991543776	2.01901602852132	17	YOR127W/YBL085W/YLL021W/YNL161W/YMR200W/YNL271C/YKR020W
GO:0000266	mitochondrial fission [biological_process]	0.000360813414137708	0.0343494370259098	0.815387432866516	1.96209433408063	9	YDR150W/YPL218W/YLL001W/YIL156W-B
GO:0032258	cytoplasm to vacuole targeting by the Cvt pathway [biological_process]	0.000410805995489779	0.0366644350974628	0.514590569459407	1.8702015883819	46	YLR417W/YML001W/YKL103C/YML071C/YDL113C/YPR049C/YKR068C/YNL223W/YOL018C/YBL078C/YBR217W/YHR171W/YGL124C/YJL178C/YPL149W/YGL223C/YLR262C/YGL005C/YGL095C/YNL242W/YNL041C/YGL180W/YNR007C/YLR431C/YDL029W/YJL036W/YDR108W
GO:1904659	D-glucose transmembrane transport [biological_process]	0.000484660637048631	0.040711493512085	-0.904896629224092	-1.82831246155856	7	YDR342C/YDR345C/YDR277C/YMR011W
GO:0006799	polyphosphate biosynthetic process [biological_process]	0.000528931684646102	0.0419619136485908	-0.984090507336044	-1.57134523502187	3	YJL012C/YER072W/YDR089W
GO:0000742	karyogamy involved in conjugation with cellular fusion [biological_process]	0.000654171457766512	0.0491661495626621	0.727684204330875	1.97229418679731	14	YMR198W/YPR141C/YNL188W/YHR073W/YCL055W/YBR109C/YDR356W/YMR065W
GO:0006164	purine nucleotide biosynthetic process [biological_process]	0.000794185934460721	0.0567048757204955	-0.895488564869704	-1.80930379168096	7	YMR120C/YAR015W/YNL220W/YLR359W/YGR061C
GO:0099500	vesicle fusion to plasma membrane [biological_process]	0.000894499481992537	0.0608259647754925	0.991231035263779	1.49073415028953	2	YBL085W
GO:0006325	chromatin organization [biological_process]	0.00109882573581876	0.0713237795795085	0.47310501530117	1.78096288581672	55	YBL003C/YJL115W/YML069W/YDR216W/YOL006C/YBR009C/YLR055C/YBR010W/YLR141W/YDR176W/YMR022W/YOR064C/YGL207W/YBR215W/YOR249C/YOR123C/YDR071C/YDR145W/YNL206C/YMR284W/YNL135C/YBR081C
GO:0006413	translational initiation [biological_process]	0.00119786464592478	0.0743717701904603	-0.673533805368892	-1.81207568010712	26	YBR079C/YOR204W/YGR162W/YOL139C/YJL138C/YMR146C/YOR361C/YER025W/YKR059W/YMR309C/YDR091C/YPR163C/YGR054W/YJR066W/YDR429C
GO:0000055	ribosomal large subunit export from nucleus [biological_process]	0.00156136505904447	0.0929012210131461	-0.628995835721932	-1.75673003949582	32	YKL009W/YDR361C/YNR053C/YDR101C/YLR074C/YKR094C/YHR170W/YIL148W/YHR088W/YLL034C/YGR245C/YER006W/YJR042W/YOR294W/YOR098C
GO:0000054	ribosomal subunit export from nucleus [biological_process]	0.00192074732974678	0.0959527993551539	-0.838209442291339	-1.80693874312263	9	YDL229W/YPL093W/YNL209W/YPR016C/YDR091C/YGR285C/YGL099W
GO:0000028	ribosomal small subunit assembly [biological_process]	0.00178274534422639	0.0959527993551539	-0.773144132767773	-1.79824159046016	14	YGR159C/YLR048W/YGR214W/YCR031C/YDR025W/YOR369C/YBR048W/YKL156W/YLR167W/YHR021C/YDR447C/YML024W/YJL191W
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	0.00183400233358784	0.0959527993551539	-0.733483294801428	-1.766705139395	16	YAL025C/YGL120C/YHR052W/YPR016C/YHR088W/YNR038W/YCL054W/YER126C/YBR142W/YKL014C/YKR081C/YDL031W/YGL246C
GO:0030476	ascospore wall assembly [biological_process]	0.00169788310998417	0.0959527993551539	0.482405132824584	1.73850440611305	45	YDR260C/YOL047C/YLR213C/YOL048C/YGR225W/YBR043C/YBR023C/YLR054C/YGL228W/YLR307W/YOL132W/YER046W/YLR330W/YJL037W/YLR341W/YCL048W/YDR402C/YNL084C/YFR039C/YHR184W/YBR045C/YDL029W/YMR148W
GO:0015812	gamma-aminobutyric acid transport [biological_process]	0.00194862127541979	0.0959527993551539	0.985092416569442	1.48150214665193	2	YOR348C
GO:0008645	hexose transmembrane transport [biological_process]	0.00208235986571579	0.0991203296080715	-0.768900227029482	-1.78837076886151	14	YHR092C/YDR342C/YDR345C/YDR343C
GO:1990414	replication-born double-strand break repair via sister chromatid exchange [biological_process]	0.00258907190304677	0.102766798634056	0.703760067395716	1.86190386347872	13	YOR328W/YDL003W/YDR191W/YJL074C/YOR023C
GO:1990145	maintenance of translational fidelity [biological_process]	0.00259075962942997	0.102766798634056	-0.792096562586339	-1.78851300539363	11	YAL003W/YFR031C-A/YOR063W/YMR116C/YOR369C/YNL178W/YLR167W/YDR385W
GO:0006730	one-carbon metabolic process [biological_process]	0.00255011072659973	0.102766798634056	-0.871393325717988	-1.76062019116507	7	YLR058C/YKR080W/YAL044C/YDR019C/YBR263W/YMR189W
GO:0009410	response to xenobiotic stimulus [biological_process]	0.00231754233884893	0.102766798634056	-0.714743609333364	-1.7458637511023	17	YOR153W/YDR406W/YNL231C/YLR397C/YOR028C
