tx_id	gene_id
YBR175W_id002	YBR175W
YBR175W_id001	YBR175W
YBR174C_id001	YBR174C
YBR176W_id001	YBR176W
YBR176W_id002	YBR176W
YBR177C_id004	YBR177C
YBR177C_id001	YBR177C
YBR178W_id001	YBR178W
YBR179C_id001	YBR179C
YBR179C_id008	YBR179C
YBR180W_mRNA	YBR180W
YBR181C_id002	YBR181C
YBR181C_id001	YBR181C
YBR182C_mRNA	YBR182C
YBR182C-A_id001	YBR182C-A
YBR183W_id001	YBR183W
YBR183W_id003	YBR183W
YBR184W_mRNA	YBR184W
YBR185C_id001	YBR185C
YBR185C_id004	YBR185C
YBR186W_mRNA	YBR186W
YBR187W_id001	YBR187W
YBR187W_id007	YBR187W
YBR188C_id001	YBR188C
YBR188C_id002	YBR188C
YBR189W_id001	YBR189W
YBR189W_id002	YBR189W
YBR190W_mRNA	YBR190W
YBR191W_id002	YBR191W
YBR191W_id001	YBR191W
YBR191W-A_id008	YBR191W-A
YBR191W-A_id001	YBR191W-A
YBR192W_id001	YBR192W
YBR192W_id003	YBR192W
YBR193C_id001	YBR193C
YBR193C_id006	YBR193C
YBR194W_id001	YBR194W
YBR194W_id003	YBR194W
YBR195C_id001	YBR195C
YBR195C_id002	YBR195C
YBR196C_id001	YBR196C
YBR196C_id002	YBR196C
YBR196C-A_id001	YBR196C-A
YBR196C-A_id005	YBR196C-A
YBR196C-B_mRNA	YBR196C-B
YBR197C_id004	YBR197C
YBR197C_id001	YBR197C
YBR198C_id004	YBR198C
YBR198C_id001	YBR198C
YBR199W_id002	YBR199W
YBR199W_id001	YBR199W
YBR200W_id002	YBR200W
YBR200W_id001	YBR200W
YBR200W-A_mRNA	YBR200W-A
YBR201W_id003	YBR201W
YBR201W_id001	YBR201W
YBR201C-A_id005	YBR201C-A
YBR201C-A_id001	YBR201C-A
YBR202W_id001	YBR202W
YBR202W_id002	YBR202W
YBR203W_id001	YBR203W
YBR204C_id001	YBR204C
YBR204C_id003	YBR204C
YBR205W_mRNA	YBR205W
YBR206W_id004	YBR206W
YBR206W_id001	YBR206W
YBR207W_id002	YBR207W
YBR207W_id001	YBR207W
YBR208C_mRNA	YBR208C
YBR209W_id001	YBR209W
YBR210W_id001	YBR210W
YBR210W_id004	YBR210W
YBR211C_mRNA	YBR211C
YBR212W_id001	YBR212W
YBR213W_id003	YBR213W
YBR213W_id001	YBR213W
YBR214W_id001	YBR214W
YBR214W_id002	YBR214W
YBR215W_id003	YBR215W
YBR215W_id001	YBR215W
YBR216C_id001	YBR216C
YBR216C_id002	YBR216C
YBR217W_id002	YBR217W
YBR217W_id001	YBR217W
YBR218C_id002	YBR218C
YBR218C_id001	YBR218C
YBR219C_mRNA	YBR219C
YBR220C_id004	YBR220C
YBR220C_id001	YBR220C
YBR221C_id001	YBR221C
YBR221C_id006	YBR221C
YBR221W-A_mRNA	YBR221W-A
YBR222C_id009	YBR222C
YBR222C_id001	YBR222C
YBR223C_id001	YBR223C
YBR223C_id003	YBR223C
YBR223W-A_mRNA	YBR223W-A
YBR224W_mRNA	YBR224W
YBR225W_mRNA	YBR225W
YBR226C_mRNA	YBR226C
YBR227C_id001	YBR227C
YBR228W_id001	YBR228W
YBR228W_id004	YBR228W
YBR229C_id003	YBR229C
YBR229C_id001	YBR229C
YBR230C_id001	YBR230C
YBR230C_id003	YBR230C
YBR230W-A_id001	YBR230W-A
YBR230W-A_id002	YBR230W-A
YBR231C_id001	YBR231C
YBR231C_id002	YBR231C
YBR233W_id001	YBR233W
YBR233W_id003	YBR233W
YBR232C_mRNA	YBR232C
YBR233W-A_id001	YBR233W-A
YBR233W-A_id002	YBR233W-A
YBR234C_id001	YBR234C
YBR234C_id002	YBR234C
YBR235W_id001	YBR235W
YBR235W_id003	YBR235W
YBR236C_id001	YBR236C
YBR236C_id002	YBR236C
YBR237W_id001	YBR237W
YBR237W_id003	YBR237W
YBR238C_id001	YBR238C
YBR238C_id002	YBR238C
YBR239C_id002	YBR239C
YBR239C_id001	YBR239C
YBR240C_mRNA	YBR240C
YBR241C_id002	YBR241C
YBR241C_id001	YBR241C
YBR242W_id001	YBR242W
YBR242W_id002	YBR242W
YBR243C_id001	YBR243C
YBR243C_id002	YBR243C
YBR244W_id003	YBR244W
YBR244W_id001	YBR244W
YBR245C_mRNA	YBR245C
YBR246W_id001	YBR246W
YBR246W_id002	YBR246W
YBR247C_id005	YBR247C
YBR247C_id001	YBR247C
YBR248C_id002	YBR248C
YBR248C_id001	YBR248C
YBR249C_id001	YBR249C
YBR249C_id004	YBR249C
YBR250W_mRNA	YBR250W
YBR251W_id002	YBR251W
YBR251W_id001	YBR251W
YBR252W_id002	YBR252W
YBR252W_id001	YBR252W
YBR253W_id001	YBR253W
YBR253W_id006	YBR253W
YBR254C_id001	YBR254C
YBR254C_id008	YBR254C
YBR255W_id001	YBR255W
YBR255W_id004	YBR255W
YBR255C-A_id001	YBR255C-A
YBR255C-A_id004	YBR255C-A
YBR256C_id001	YBR256C
YBR256C_id002	YBR256C
YBR257W_id001	YBR257W
YBR257W_id003	YBR257W
YBR258C_id001	YBR258C
YBR259W_id002	YBR259W
YBR259W_id001	YBR259W
YBR260C_id001	YBR260C
